Operand 1,Operand 2,Answer,Options
(x+2)/4+1,5,÷4,"÷4,+4,-4"
x/3-2,4,÷4,"÷4,+4,-4"
x/2+3,7,÷4,"÷4,+4,-4"
5(2x - 3),15,÷4,"÷4,+4,-4"
-4(x + 2),8,÷4,"÷4,+4,-4"
3(x - 1),12,÷3,"÷3,-3,+3"
2(x + 3),12,÷2,"÷2,-2,+2"
3x+5,x+13,-x,"-x,+2x,-5"
-4x+8,20,-2,"-2,+2,-10"
2x+4,10,–4,"+3,–3,÷3"
4x-2,2x+10,-2x,"-2x,-4x,+2"
2x+3,11,–3,"+3,–3,÷3"
3x-7,14,+7,"+7,-7,-9"
x+3,7,–3,"+3,–3,÷3"
x+8,12,–8,"+8,–8,÷8"
x−5,9, +5,"+5,–5,÷5"
x−7,10, +7,"+7,–7,÷7"
x+6,15,–6,"+6,–6,÷6"
3x,18,÷3,"×3,÷3,+3"
4x,32,÷4,"×4,÷4,–4"
x÷5,7,×5,"×5,÷5,+5"
x+14,30,–14,"+14,–14,÷14"
x−20,25, +20,"+20,–20,÷20"
x÷8,9,×8,"×8,÷8,+8"
